Idx,Wedge_rk,Wedge coords,Line_rk,Line basis,Klein_rk,Klein coords
206,1073," 8, 0, 3, 0, 1, 0",2502," 1, 0, 0, 3, 0, 1, 0, 5",379," 7, 0, 0, 8, 1, 0"
207,1146," 0, 0, 4, 0, 1, 0",363," 1, 3, 0, 0, 0, 0, 0, 1",338," 0, 0, 0, 6, 1, 0"
208,1147," 1, 0, 4, 0, 1, 0",1674," 1, 0, 0, 2, 0, 1, 0, 4",341," 3, 0, 0, 6, 1, 0"
209,1148," 2, 0, 4, 0, 1, 0",891," 1, 0, 0, 1, 0, 1, 0, 8",344," 6, 0, 0, 6, 1, 0"
210,1149," 3, 0, 4, 0, 1, 0",6597," 1, 0, 0, 8, 0, 1, 0, 5",345," 7, 0, 0, 6, 1, 0"
211,1150," 4, 0, 4, 0, 1, 0",4923," 1, 0, 0, 6, 0, 1, 0, 1",339," 1, 0, 0, 6, 1, 0"
212,1151," 5, 0, 4, 0, 1, 0",4122," 1, 0, 0, 5, 0, 1, 0, 3",342," 4, 0, 0, 6, 1, 0"
213,1152," 6, 0, 4, 0, 1, 0",3339," 1, 0, 0, 4, 0, 1, 0, 7",343," 5, 0, 0, 6, 1, 0"
214,1153," 7, 0, 4, 0, 1, 0",5787," 1, 0, 0, 7, 0, 1, 0, 6",346," 8, 0, 0, 6, 1, 0"
215,1154," 8, 0, 4, 0, 1, 0",2475," 1, 0, 0, 3, 0, 1, 0, 2",340," 2, 0, 0, 6, 1, 0"
216,1227," 0, 0, 5, 0, 1, 0",727," 1, 7, 0, 0, 0, 0, 0, 1",321," 0, 0, 0, 5, 1, 0"
217,1228," 1, 0, 5, 0, 1, 0",1683," 1, 0, 0, 2, 0, 1, 0, 5",328," 7, 0, 0, 5, 1, 0"
218,1229," 2, 0, 5, 0, 1, 0",882," 1, 0, 0, 1, 0, 1, 0, 7",326," 5, 0, 0, 5, 1, 0"
219,1230," 3, 0, 5, 0, 1, 0",6606," 1, 0, 0, 8, 0, 1, 0, 6",329," 8, 0, 0, 5, 1, 0"
220,1231," 4, 0, 5, 0, 1, 0",4950," 1, 0, 0, 6, 0, 1, 0, 4",324," 3, 0, 0, 5, 1, 0"
